0.2772222 0 0 1 1 1 1 1
0.2441111 0 0 0 0 1 1 1
0.1492222 0 0 0 0 1 0 1
0.1308889 0 0 0 1 1 1 1
0.03988889 0 0 1 1 1 0 1
0.02811111 0 0 1 0 1 1 1
0.02633333 0 0 1 1 1 1 0
0.02144444 0 0 0 1 1 0 1
0.01688889 0 0 0 1 1 1 0
0.01622222 0 0 0 0 1 1 0
0.009888889 0 0 0 0 0 1 1
0.008222222 0 0 0 0 1 0 0
0.008111111 0 0 1 0 1 0 1
0.006666667 0 0 1 1 0 1 1
0.002888889 0 0 0 1 1 0 0
0.002888889 0 0 1 1 1 0 0
0.002555556 0 0 0 0 0 0 1
0.002222222 0 0 0 1 0 1 1
0.001888889 0 0 1 0 1 1 0
0.001333333 0 0 1 0 0 1 1
0.0007777778 0 0 1 1 0 1 0
0.0007777778 0 0 0 0 0 1 0
0.0004444444 0 0 1 1 0 0 1
0.0003333333 0 0 0 1 0 0 1
0.0002222222 0 0 1 0 1 0 0
0.0002222222 0 0 1 0 0 0 1
0.0001111111 0 0 0 0 0 0 0
0.0001111111 0 0 0 1 0 1 0
